date,shape,latitude,longitude
2005-11,,36.2125000,-79.7138889
2005-11,,41.0441667,-83.6500000
2005-11,,28.2438889,-82.7194444
2005-11,,35.2472222,-97.5994444
2005-11,,38.6269444,-88.9455556
2005-11,,37.6833333,-87.9166667
2005-11,,26.1416667,-81.7950000
2005-11,,37.461463,-122.310752
2005-11,,34.2255556,-77.9450000
2005-11,,38.788698,-90.511764
2005-11,cylinder,42.9633333,-85.6680556
2005-11,triangle,46.7163889,-122.9530556
2005-11,triangle,35.7325000,-78.8505556
2005-11,triangle,41.5733333,-87.7844444
2005-11,triangle,33.4483333,-112.0733333
2005-11,triangle,33.4250000,-94.0475000
2005-11,triangle,31.7086111,-87.7772222
2005-11,triangle,37.5536111,-77.4605556
2005-11,triangle,33.5169444,-83.6961111
2005-11,triangle,34.1013889,-84.5194444
2005-11,triangle,47.5405556,-122.6350000
2005-11,triangle,42.983333,-81.25
2005-11,triangle,39.2086111,-81.1575000
2005-11,triangle,37.5233333,-77.3161111
2005-11,triangle,34.1013889,-84.5194444
2005-11,light,44.9800000,-93.2636111
2005-11,light,34.1577778,-118.6375000
2005-11,light,30.1102778,-97.3150000
2005-11,light,45.5,-73.583333
2005-11,light,35.5938889,-89.2622222
2005-11,light,37.9575000,-119.1208333
2005-11,light,41.4969444,-71.3677778
2005-11,light,38.9805556,-77.1005556
2005-11,light,28.5380556,-81.3794444
2005-11,light,33.4355556,-112.3488889
2005-11,light,43.4061111,-76.1261111
2005-11,light,27.273049,-80.358226
2005-11,light,34.8986111,-117.0219444
2005-11,light,30.4013889,-86.8636111
2005-11,light,41.9902778,-70.9755556
2005-11,light,30.235296,-96.365157
2005-11,light,52.683333,-1.816667
2005-11,light,31.3150000,-85.8552778
2005-11,light,33.3061111,-111.8405556
2005-11,light,37.5483333,-121.9875000
2005-11,light,28.5388889,-80.6722222
2005-11,light,37.3280556,-87.4988889
2005-11,light,39.4666667,-87.4138889
2005-11,light,44.3633333,-98.2138889
2005-11,light,40.5791667,-74.4119444
2005-11,light,30.1102778,-97.3150000
2005-11,light,38.7744444,-75.1397222
2005-11,light,32.2216667,-110.9258333
2005-11,light,36.9955556,-91.0144444
2005-11,light,-37.813938,144.963425
2005-11,light,23.810332,90.412518
2005-11,light,32.514947,-117.038247
2005-11,light,40.0719444,-83.5563889
2005-11,light,44.233333,-76.483333
2005-11,light,-16.92304,145.766251
2005-11,light,38.950926,-92.307682
2005-11,light,31.5491667,-97.1463889
2005-11,diamond,40.0830556,-74.0686111
2005-11,formation,30.4013889,-86.8636111
2005-11,formation,44.1002778,-70.2152778
2005-11,formation,34.4436111,-118.6086111
2005-11,circle,33.4483333,-112.0733333
2005-11,circle,37.9480556,-122.0597222
2005-11,circle,33.6305556,-112.3325000
2005-11,circle,37.7750000,-122.4183333
2005-11,circle,38.6658333,-120.9250000
2005-11,circle,34.7016667,-86.3758333
2005-11,circle,28.5380556,-81.3794444
2005-11,circle,7.341063,134.47716
2005-11,circle,47.8211111,-122.3138889
2005-11,circle,51.571148,8.105754
2005-11,rectangle,32.0808333,-89.7758333
2005-11,changing,29.4238889,-98.4933333
2005-11,flash,33.0461111,-96.9938889
2005-11,sphere,38.5816667,-121.4933333
2005-11,sphere,38.7072222,-121.2800000
2005-11,sphere,38.0683333,-120.5386111
2005-11,sphere,35.4838889,-89.7250000
2005-11,sphere,27.7705556,-82.6794444
2005-11,egg,37.5388889,-87.2583333
2005-11,disk,37.3402778,-95.2608333
2005-11,disk,28.3644444,-82.1961111
2005-11,disk,40.1261111,-82.9291667
2005-11,disk,33.7669444,-118.1883333
2005-11,fireball,30.2669444,-97.7427778
2005-11,fireball,41.3197222,-81.6269444
2005-11,fireball,41.7955556,-86.0808333
2005-11,fireball,33.0197222,-96.6986111
2005-11,fireball,36.0652778,-119.0158333
2005-11,fireball,39.8402778,-88.9547222
2005-11,fireball,38.7838889,-90.4811111
2005-11,fireball,30.3580556,-90.0655556
2005-11,fireball,36.1988889,-115.1166667
2005-11,fireball,38.1302778,-121.2713889
2005-11,fireball,35.8238889,-80.2536111
2005-11,fireball,34.2783333,-119.2922222
2005-11,fireball,33.9163889,-78.1613889
2005-11,fireball,36.3275000,-119.6447222
2005-11,teardrop,35.2269444,-80.8433333
2005-11,teardrop,37.3822222,-89.6661111
2005-11,teardrop,42.4683333,-82.9555556
2005-11,cigar,43.458858,1.399356
2005-11,cigar,42.4500000,-73.2458333
2005-11,chevron,38.2538000,-94.3356000
2005-11,chevron,53.610421,-0.96144
2005-11,chevron,43.666667,-79.416667
2005-12,oval,30.406587,-87.683597
2005-12,oval,40.3275000,-80.0397222
2005-12,oval,33.7455556,-117.8669444
2005-12,oval,34.6125000,-83.5250000
2005-12,,20.653407,-105.225332
2005-12,,21.161908,-86.851528
2005-12,,38.9536111,-94.7333333
2005-12,,41.2558333,-122.1383333
2005-12,,44.3097222,-73.2613889
2005-12,,37.203889,-81.98
2005-12,,45.5,-73.583333
2005-12,,42.5294444,-83.7802778
2005-12,,33.4052778,-86.8113889
2005-12,,43.796573,-70.258521
2005-12,,48.4213889,-122.3327778
2005-12,cylinder,34.9702778,-78.9455556
2005-12,triangle,33.0183333,-80.1758333
2005-12,triangle,34.8297222,-82.6016667
2005-12,triangle,52.037774,-1.42576
2005-12,triangle,41.2958333,-86.6250000
2005-12,triangle,46.2858333,-119.2833333
2005-12,triangle,41.034262,-93.766759
2005-12,triangle,43.0125000,-83.6875000
2005-12,triangle,30.2669444,-97.7427778
2005-12,triangle,30.2669444,-97.7427778
2005-12,light,39.1433333,-77.2016667
2005-12,light,51.833333,-2.166667
2005-12,light,33.9022222,-118.0808333
2005-12,light,30.4391667,-97.6197222
2005-12,light,47.6063889,-122.3308333
2005-12,light,41.2794444,-72.8155556
2005-12,light,41.6738889,-73.0736111
